ward,outcome,estimate,cluster_ci_low,cluster_ci_high,cv_mae,cv_rmse,cv_pi_low,cv_pi_high,patient_days,patients,observed_days,estimate_pct,cluster_ci_low_pct,cluster_ci_high_pct,cv_mae_pct,cv_rmse_pct,cv_pi_low_pct,cv_pi_high_pct
5F,I,0.1773361199168317,0.17553882974049434,0.17907684828032353,0.03104925731734719,0.03397264350973104,0.11074973863775887,0.24392250119590453,1178,112,28,17.73361199168317,17.553882974049433,17.90768482803235,3.104925731734719,3.3972643509731038,11.074973863775888,24.392250119590454
5F,II,0.15689378439093096,0.15455010865503607,0.15904979680555395,0.026760297800857934,0.031112372595660704,0.09591353410343598,0.21787403467842595,1178,112,28,15.689378439093096,15.455010865503608,15.904979680555394,2.6760297800857935,3.1112372595660704,9.591353410343597,21.787403467842594
6F,I,0.16269938196209596,0.1603862045612309,0.16488427033482161,0.03707997697083657,0.04331660656040464,0.07779883310370286,0.24759993082048906,1198,112,28,16.269938196209598,16.03862045612309,16.48842703348216,3.7079976970836572,4.331660656040464,7.779883310370287,24.759993082048908
6F,II,0.13593072082982055,0.13311089074644092,0.13885978294717707,0.036493672366714254,0.046333519783905354,0.045117022053366054,0.22674441960627506,1198,112,28,13.593072082982054,13.311089074644093,13.885978294717708,3.6493672366714254,4.633351978390535,4.511702205336605,22.674441960627504
