outcome,ym,ward,predicted,actual,residual,predicted_pct,actual_pct,residual_pct
I,202504,5F,0.17254808264641774,0.2264006139677667,-0.053852531321348956,17.254808264641774,22.64006139677667,-5.3852531321348955
I,202504,6F,0.15837488082183832,0.2149390243902439,-0.056564143568405584,15.837488082183832,21.49390243902439,-5.656414356840559
I,202505,5F,0.17438144932745867,0.21488871834228704,-0.04050726901482837,17.438144932745868,21.488871834228704,-4.050726901482838
I,202505,6F,0.15868287801158454,0.22432859399684044,-0.0656457159852559,15.868287801158454,22.432859399684045,-6.56457159852559
I,202506,5F,0.18121969184938544,0.15903197925669835,0.022187712592687092,18.121969184938543,15.903197925669835,2.218771259268709
I,202506,6F,0.1646072997887453,0.11299915038232795,0.05160814940641735,16.46072997887453,11.299915038232795,5.160814940641735
I,202507,5F,0.17488273697230453,0.20146222583265638,-0.026579488860351858,17.488273697230454,20.14622258326564,-2.657948886035186
I,202507,6F,0.16130191246758732,0.16134185303514376,-3.99405675564346e-05,16.13019124675873,16.134185303514375,-0.00399405675564346
I,202508,5F,0.17390363827482666,0.20911949685534592,-0.03521585858051926,17.390363827482666,20.91194968553459,-3.521585858051926
I,202508,6F,0.15906359201453774,0.19028974158183243,-0.031226149567294692,15.906359201453773,19.028974158183242,-3.1226149567294694
I,202509,5F,0.17564666693840503,0.19110690633869443,-0.0154602394002894,17.564666693840504,19.110690633869442,-1.54602394002894
I,202509,6F,0.16068214673199252,0.17298797409805736,-0.012305827366064837,16.06821467319925,17.298797409805736,-1.2305827366064837
I,202510,5F,0.18041429449087532,0.1448395490026019,0.03557474548827341,18.04142944908753,14.48395490026019,3.5574745488273414
I,202510,6F,0.164887528959447,0.1520068317677199,0.012880697191727103,16.4887528959447,15.200683176771989,1.2880697191727104
I,202511,5F,0.17945556276243368,0.15801704105344694,0.021438521708986746,17.94555627624337,15.801704105344694,2.1438521708986746
I,202511,6F,0.1662154375724995,0.15137254901960784,0.014842888552891675,16.621543757249952,15.137254901960784,1.4842888552891675
